level,child,agent_id,run_id,state,verified,ttft_s,wall_s,output_tokens,decode_tps,turns,error
1,0,a1,run-fb59d1f6ab3d,completed,True,3.927,16.035,322,67.195,3,
2,0,a2,run-76b227e381f5,completed,True,10.481,41.502,353,22.401,3,
2,1,a3,run-cd29dbbca5e3,completed,True,4.731,39.526,406,21.639,3,
4,0,a4,run-4109ffab6c46,completed,True,4.724,127.407,386,9.488,3,
4,1,a5,run-eba05a131156,completed,True,12.164,135.824,323,9.943,3,
4,2,a6,run-1f3af656b320,completed,True,19.424,162.349,286,7.088,3,
4,3,a7,run-c48d007e96a8,completed,True,26.485,170.403,305,7.171,3,
8,0,a8,run-f3c25831b8dd,completed,True,31.141,306.483,379,5.265,3,
8,1,a9,run-d369a9e76207,completed,True,71.612,314.589,403,7.305,3,
8,2,a10,run-fbf8349377cb,completed,True,97.163,323.327,404,8.256,3,
8,3,a11,run-309555844dfa,completed,True,153.453,348.626,332,8.836,3,
8,4,a12,run-0cc657e1acb0,completed,True,140.552,339.796,378,8.88,3,
8,5,a13,run-57527853f38e,completed,True,119.894,323.737,369,8.772,3,
8,6,a14,run-c2f2ddf888f4,completed,True,168.798,355.588,339,10.4,3,
8,7,a15,run-b1cb9fa51bfb,completed,True,180.698,357.032,332,12.307,3,
