lane,run_id,agent_id,source,model,ts,state,error,duplicate_run_id
glm,run-3a140c4af3a9,a8,glm-subagent,glm-5.3[1m],1788328790.12,completed,,False
glm,run-366460b2cd15,a8,glm-subagent,glm-5.3[1m],1788329291.965,completed,,False
glm,run-c0902a081652,a1,glm-subagent,glm-5.3[1m],1788337229.038,cancelled,"claude exited 143: [claude-code:unrecognized_model] {""model"":""glm-5.3[1m]"",""query_source"":""sdk""}",False
glm,run-c3bf69b609b1,a2,glm-subagent,glm-5.3[1m],1788337389.881,completed_unverified,,False
glm,run-eaa4a71d9d10,a2,glm-subagent,glm-5.3[1m],1788337524.216,completed,,False
glm,run-18d26796f9cf,a2,glm-subagent,glm-5.3[1m],1788337601.053,completed,,False
glm,run-a90ff7224f58,a2,glm-subagent,glm-5.3[1m],1788337901.853,completed,,False
glm,run-7541583c28ed,a19,glm-subagent,glm-5.3[1m],1788610980.235,completed,,False
glm,run-e5b7c95a13f2,a15,glm-subagent,glm-5.3[1m],1788659532.591,cancelled,"claude exited 143: [claude-code:unrecognized_model] {""model"":""glm-5.3[1m]"",""query_source"":""sdk""}",False
glm,run-7457e6198b0c,a2,glm-subagent,glm-5.3-flash[1m],1788679678.983,completed,,False
glm,run-0ba7e3dae7df,a5,glm-subagent,glm-5.3-flash[1m],1788681723.12,completed,,False
glm,run-b93a5c978a78,a17,glm-subagent,glm-5.3-flash[1m],1788701004.832,completed,,False
glm,run-69d6a4985516,a18,glm-subagent,glm-5.3-flash[1m],1788701901.346,completed,,False
glm,run-e6972869e0fc,a32,glm-subagent,glm-5.3-flash[1m],1788764679.255,completed_unverified,,False
glm,run-148799620911,a48,glm-subagent,glm-5.3-flash[1m],1788778625.022,completed_unverified,,False
glm,run-48520285f8c7,a45,glm-subagent,glm-5.3-flash[1m],1788778785.521,completed_unverified,,False
glm,run-495631c89e63,a45,glm-subagent,glm-5.3-flash[1m],1788779455.456,completed,,False
glm,run-008eb2e6dd93,a49,glm-subagent,glm-5.3-flash[1m],1788780274.46,completed_unverified,,False
glm,run-41bd1992bb06,a49,glm-subagent,glm-5.3-flash[1m],1788780940.227,completed,,False
glm,run-2dae7f8cce81,a52,glm-subagent,glm-5.3-flash[1m],1788782112.746,completed,,False
glm,run-841b36dc1ff8,a54,glm-subagent,glm-5.3-flash[1m],1788782217.184,completed,,False
glm,run-85a43d6a1504,a55,glm-subagent,glm-5.3-flash[1m],1788782380.36,completed,,False
glm,run-eddedca47fa3,a58,glm-subagent,glm-5.3-flash[1m],1788784965.513,completed,,False
glm,run-62ea971ce360,a30,glm-subagent,glm-5.3-flash[1m],1788883373.296,completed,,False
glm,run-e4c416a7e375,a32,glm-subagent,glm-5.3-flash[1m],1788883661.893,completed,,False
glm,run-dc8e07c85f2a,a36,glm-subagent,glm-5.3-flash[1m],1788885548.174,completed,,False
glm,run-f5631d5bb0c2,a35,glm-subagent,glm-5.3-flash[1m],1788887215.198,completed,,False
glm,run-a47c07537444,a40,glm-subagent,glm-5.3-flash[1m],1788890653.843,completed,,False
glm,run-277148a06208,a58,glm-subagent,glm-5.3-flash[1m],1788919475.148,completed,,False
glm,run-d64a8882b063,a1,glm-subagent,glm-5.3-flash[1m],1789343313.382,cancelled,cli_error: claude exited 143:,False
glm,run-8085b17269d6,a6,glm-subagent,glm-5.3-flash[1m],1789647202.461,cancelled,cli_error: claude exited 143:,False
deepseek,run-a3bbd4faa19c,a2,deepseek-subagent,deepseek-v4-pro,1788142481.916,completed_unverified,"verification failed: blocked before execution: segment `python3 -c ""from pathlib import Path`: command does not parse as shell words: No closing quotation",False
deepseek,run-067fbb38813c,a1,deepseek-subagent,deepseek-v4-pro,1788142501.454,cancelled,cancelled by caller,False
deepseek,run-d138a2e70e91,a3,deepseek-subagent,deepseek-v4-pro,1788142527.94,failed,"UNKNOWN: session ""dsa-a3"" is already persisted at a different cwd (persisted: /Users/GaryT/Documents/Work/Lab/liquid-parser, live: /Users/GaryT/Documents/Work/media-generator-mcp) (id collision)",False
deepseek,run-c74d119b02bf,a4,deepseek-subagent,deepseek-v4-pro,1788142550.841,failed,"UNKNOWN: session ""dsa-a4"" is already persisted at a different cwd (persisted: /Users/GaryT/Documents/Work/Lab/liquid-parser, live: /Users/GaryT/Documents/Work/media-generator-mcp) (id collision)",False
deepseek,run-3793bada7ded,a5,deepseek-subagent,deepseek-v4-pro,1788142618.948,failed,"UNKNOWN: session ""dsa-a5"" is already persisted at a different cwd (persisted: /Users/GaryT/Documents/Work/Lab/liquid-parser, live: /Users/GaryT/Documents/Work/media-generator-mcp) (id collision)",False
deepseek,run-592014bec98d,a1,deepseek-subagent,deepseek-v4-pro,1788170201.388,failed,"UNKNOWN: session ""dsa-a1"" is already persisted at a different cwd (persisted: /Users/GaryT/Documents/Work/media-generator-mcp, live: /Users/GaryT/Documents/Work/Lab/ultra-dex) (id collision)",False
deepseek,run-d7175ad31a0f,a2,deepseek-subagent,deepseek-v4-pro,1788170201.534,failed,"UNKNOWN: session ""dsa-a2"" is already persisted at a different cwd (persisted: /Users/GaryT/Documents/Work/Skills/media-gen, live: /Users/GaryT/Documents/Work/Lab/ultra-dex) (id collision)",False
